measurement_id,station_id,measurement_date,mode,pressure,flow,temperature,vibration
173,101,2024-06-21,normal,61.72,1027.38,31.39,0.614
174,101,2024-06-22,normal,61.33,984.14,28.04,0.589
175,101,2024-06-23,normal,62.05,1053.48,26.5,0.703
176,101,2024-06-24,stress,67.14,1087.2,30.85,1.107
177,101,2024-06-25,normal,60.56,1036.33,26.57,0.639
178,101,2024-06-26,normal,61.35,1047.26,27.29,0.652
179,101,2024-06-27,normal,62.13,1075.57,31.39,0.665
180,101,2024-06-28,normal,60.19,1027.71,29.8,0.696
181,101,2024-06-29,repair,59.82,869.48,30.33,1.014
182,101,2024-06-30,normal,61.88,919.25,28.49,0.448
183,101,2024-07-01,normal,62.0,1048.56,25.04,0.609
184,101,2024-07-02,normal,61.12,1115.46,27.54,0.671
185,101,2024-07-03,normal,61.6,991.97,27.25,0.646
186,101,2024-07-04,repair,58.44,821.69,29.46,1.0
187,101,2024-07-05,normal,61.3,1038.23,28.71,0.593
188,101,2024-07-06,peak,64.48,1143.95,24.17,0.775
189,101,2024-07-07,repair,56.94,858.22,28.83,1.019
190,101,2024-07-08,normal,59.77,1041.97,26.47,0.622
191,101,2024-07-09,normal,63.23,1097.48,29.94,0.642
192,101,2024-07-10,peak,64.1,1163.82,27.25,0.794
193,101,2024-07-11,peak,62.31,1143.39,28.26,0.748
194,101,2024-07-12,normal,62.1,1014.84,28.44,0.669
195,101,2024-07-13,normal,62.98,1010.02,23.03,0.591
196,101,2024-07-14,peak,63.18,1148.61,25.83,0.782
197,101,2024-07-15,peak,63.55,1174.58,27.82,0.632
198,101,2024-07-16,repair,56.07,850.37,26.34,1.056
199,101,2024-07-17,repair,58.8,830.0,27.3,0.969
200,101,2024-07-18,stress,66.18,1042.84,27.88,1.244
201,101,2024-07-19,normal,62.37,1055.62,26.21,0.606
202,101,2024-07-20,normal,60.6,1049.75,23.76,0.672
203,101,2024-07-21,peak,62.84,1163.36,31.11,0.672
204,101,2024-07-22,normal,61.37,1044.9,25.85,0.673
205,101,2024-07-23,normal,62.85,1012.02,27.94,0.613
206,101,2024-07-24,normal,59.93,1046.76,28.49,0.644
207,101,2024-07-25,peak,61.69,1150.87,21.66,0.698
208,101,2024-07-26,normal,62.93,1136.47,23.72,0.727
209,101,2024-07-27,normal,60.95,1046.3,24.99,0.654
210,101,2024-07-28,peak,61.17,1101.36,26.14,0.733
211,101,2024-07-29,peak,63.06,1190.39,24.94,0.712
212,101,2024-07-30,repair,58.31,910.38,25.46,1.052
213,101,2024-07-31,normal,62.38,1053.9,25.52,0.677
214,101,2024-08-01,normal,61.86,979.25,22.29,0.72
215,101,2024-08-02,normal,62.75,1020.67,21.33,0.635
216,101,2024-08-03,normal,61.2,1074.31,22.89,0.668
217,101,2024-08-04,normal,61.54,1031.59,21.85,0.635
218,101,2024-08-05,normal,60.85,1099.05,23.1,0.635
219,101,2024-08-06,stress,63.79,1057.01,21.62,1.274
220,101,2024-08-07,normal,62.46,1034.64,23.02,0.643
221,101,2024-08-08,peak,64.52,1074.44,18.34,0.72
222,101,2024-08-09,peak,63.66,1180.88,21.71,0.804
223,101,2024-08-10,stress,65.13,1104.8,22.95,1.172
224,101,2024-08-11,normal,61.05,1033.6,25.39,0.513
225,101,2024-08-12,normal,59.55,1020.09,21.39,0.565
226,101,2024-08-13,peak,62.07,1257.64,25.7,0.726
227,101,2024-08-14,normal,59.57,962.12,21.27,0.593
228,101,2024-08-15,peak,60.81,1136.05,21.64,0.768
229,101,2024-08-16,normal,59.4,1067.88,19.34,0.683
230,101,2024-08-17,normal,59.27,1023.79,21.69,0.682
231,101,2024-08-18,stress,66.59,1109.5,20.1,1.25
232,101,2024-08-19,normal,63.08,989.98,18.4,0.73
233,101,2024-08-20,normal,59.29,1018.6,21.14,0.643
234,101,2024-08-21,stress,63.83,1045.46,18.06,1.324
235,101,2024-08-22,normal,61.81,1019.4,19.35,0.609
236,101,2024-08-23,normal,59.19,969.65,14.58,0.582
237,101,2024-08-24,stress,64.75,1122.98,20.2,1.244
238,101,2024-08-25,normal,61.41,1067.12,17.8,0.679
239,101,2024-08-26,stress,63.91,1032.26,16.23,1.203
240,101,2024-08-27,normal,59.82,1041.45,19.85,0.682
241,101,2024-08-28,normal,62.19,1002.91,22.06,0.619
242,101,2024-08-29,normal,60.79,1025.83,14.13,0.639
243,101,2024-08-30,normal,61.97,1099.67,16.12,0.665
244,101,2024-08-31,peak,61.95,1202.01,17.54,0.844
245,101,2024-09-01,normal,61.83,1046.84,19.13,0.624
246,101,2024-09-02,peak,62.33,1141.93,18.59,0.784
247,101,2024-09-03,peak,64.5,1229.35,16.06,0.771
248,101,2024-09-04,peak,62.5,1152.07,20.2,0.768
249,101,2024-09-05,normal,62.01,962.98,11.95,0.692
250,101,2024-09-06,normal,60.92,995.66,16.08,0.758
251,101,2024-09-07,peak,62.67,1159.99,15.01,0.631
252,101,2024-09-08,normal,61.58,987.42,14.17,0.585
253,101,2024-09-09,peak,62.32,1098.71,16.72,0.79
254,101,2024-09-10,peak,59.53,1140.69,17.83,0.595
255,101,2024-09-11,normal,59.32,1079.77,13.38,0.67
256,101,2024-09-12,normal,62.69,1042.13,15.43,0.567
257,101,2024-09-13,peak,61.54,1159.19,14.3,0.662
258,101,2024-09-14,normal,61.71,1062.3,10.6,0.641
259,101,2024-09-15,normal,58.39,1011.0,15.76,0.663
260,101,2024-09-16,stress,66.66,1105.32,15.03,1.358
261,101,2024-09-17,peak,61.6,1199.45,14.29,0.719
262,101,2024-09-18,repair,60.49,886.31,11.45,1.049
263,101,2024-09-19,stress,64.23,1110.95,9.96,1.219
264,101,2024-09-20,stress,64.94,1075.99,11.43,1.179
265,101,2024-09-21,normal,60.21,1090.81,8.47,0.696
266,101,2024-09-22,normal,60.94,1013.88,14.95,0.717
267,101,2024-09-23,peak,60.8,1218.93,12.66,0.66
268,101,2024-09-24,normal,61.0,1079.27,11.91,0.664
269,101,2024-09-25,repair,59.2,769.92,10.56,0.989
270,101,2024-09-26,normal,60.77,1107.05,8.61,0.667
271,101,2024-09-27,normal,59.91,1116.48,9.55,0.674
272,101,2024-09-28,normal,62.72,1083.97,10.09,0.68
273,101,2024-09-29,repair,59.12,869.51,9.79,0.971
274,101,2024-09-30,normal,61.33,1072.29,11.42,0.648
275,101,2024-10-01,normal,60.29,1148.04,6.28,0.718
276,101,2024-10-02,normal,59.79,1148.78,11.67,0.702
277,101,2024-10-03,normal,60.22,1056.87,10.09,0.725
278,101,2024-10-04,peak,61.46,1226.91,11.01,0.784
279,101,2024-10-05,normal,60.13,1031.04,6.82,0.558
280,101,2024-10-06,normal,60.34,1050.39,1.98,0.58
281,101,2024-10-07,normal,59.77,1081.58,5.18,0.727
282,101,2024-10-08,peak,63.02,1287.02,11.33,0.731
283,101,2024-10-09,normal,60.18,1088.79,7.52,0.626
284,101,2024-10-10,normal,60.64,1157.57,7.71,0.746
285,101,2024-10-11,peak,63.43,1173.42,5.39,0.774
286,101,2024-10-12,stress,64.29,1057.84,4.04,1.121
287,101,2024-10-13,peak,62.67,1245.25,6.76,0.624
288,101,2024-10-14,stress,64.47,1187.92,3.35,1.179
289,101,2024-10-15,normal,61.08,1095.45,6.58,0.666
290,101,2024-10-16,peak,61.59,1238.19,3.07,0.766
291,101,2024-10-17,normal,59.78,1074.73,4.5,0.589
292,101,2024-10-18,normal,59.27,1088.64,3.11,0.687
293,101,2024-10-19,normal,59.77,1053.41,8.33,0.666
294,101,2024-10-20,normal,60.99,997.84,5.1,0.758
295,101,2024-10-21,normal,60.65,1099.51,6.94,0.538
296,101,2024-10-22,normal,60.66,1052.29,7.64,0.631
297,101,2024-10-23,stress,62.76,1010.73,4.02,1.188
298,101,2024-10-24,stress,65.81,1161.53,3.95,1.088
299,101,2024-10-25,normal,61.19,1093.51,6.27,0.584
300,101,2024-10-26,normal,59.51,1110.98,0.2,0.597
301,101,2024-10-27,stress,64.24,1150.19,4.22,1.193
302,101,2024-10-28,peak,61.96,1146.36,1.73,0.779
303,101,2024-10-29,normal,58.64,1057.26,2.02,0.628
304,101,2024-10-30,stress,63.64,1092.84,4.8,1.243
305,101,2024-10-31,normal,60.11,1091.59,1.11,0.585
306,101,2024-11-01,normal,59.7,1042.81,3.07,0.688
307,101,2024-11-02,normal,60.56,1079.4,3.28,0.648
308,101,2024-11-03,stress,63.02,1124.61,4.61,1.076
309,101,2024-11-04,normal,61.91,1083.41,3.37,0.61
310,101,2024-11-05,normal,58.58,1000.87,4.06,0.594
311,101,2024-11-06,normal,58.85,1037.09,1.43,0.608
312,101,2024-11-07,repair,58.27,923.58,2.16,1.085
313,101,2024-11-08,peak,62.58,1265.14,4.25,0.67
314,101,2024-11-09,normal,62.22,1112.11,1.73,0.636
315,101,2024-11-10,stress,64.82,1118.92,1.05,1.206
316,101,2024-11-11,repair,58.38,1024.94,-2.93,1.016
317,101,2024-11-12,normal,61.29,1096.66,2.5,0.713
318,101,2024-11-13,repair,59.08,826.49,4.18,1.019
319,101,2024-11-14,stress,63.04,1099.68,0.85,1.197
320,101,2024-11-15,stress,65.59,1064.84,2.53,1.205
321,101,2024-11-16,normal,59.02,1116.7,-5.07,0.684
322,101,2024-11-17,normal,60.71,1093.71,2.68,0.638
323,101,2024-11-18,stress,64.15,1182.25,1.16,1.178
324,101,2024-11-19,normal,58.92,1114.29,-4.03,0.69
325,101,2024-11-20,repair,60.57,878.36,-0.5,1.097
326,101,2024-11-21,repair,57.03,929.3,-0.4,1.014
327,101,2024-11-22,stress,64.32,1075.68,-0.22,1.224
328,101,2024-11-23,stress,62.89,1174.58,0.17,1.158
329,101,2024-11-24,normal,58.87,1063.65,-1.92,0.716
330,101,2024-11-25,normal,61.4,1082.75,-0.3,0.64
331,101,2024-11-26,repair,57.26,864.04,-3.99,0.969
332,101,2024-11-27,normal,61.17,1086.67,4.18,0.553
333,101,2024-11-28,normal,59.41,1086.19,-0.83,0.52
334,101,2024-11-29,normal,62.91,1088.26,-0.65,0.705
335,101,2024-11-30,stress,63.75,1054.56,0.1,1.192
336,101,2024-12-01,repair,58.06,904.4,-2.55,1.032
337,101,2024-12-02,normal,61.84,1054.0,-2.93,0.754
338,101,2024-12-03,normal,60.81,1071.89,-2.7,0.652
339,101,2024-12-04,peak,62.64,1236.97,-2.08,0.669
340,101,2024-12-05,normal,61.72,1056.64,-2.09,0.603
341,101,2024-12-06,normal,60.58,1165.27,-0.62,0.576
342,101,2024-12-07,peak,61.82,1217.68,-1.09,0.721
343,101,2024-12-08,normal,59.91,1086.55,-3.28,0.617
344,101,2024-12-09,normal,61.82,1175.51,3.11,0.592
345,101,2024-12-10,normal,59.45,1081.43,-3.31,0.59
346,101,2024-12-11,normal,60.6,1065.18,-0.11,0.598
347,101,2024-12-12,peak,62.33,1244.57,-4.84,0.842
348,101,2024-12-13,peak,63.03,1191.07,-1.56,0.687
349,101,2024-12-14,peak,63.8,1246.28,-7.41,0.694
350,101,2024-12-15,normal,62.49,1155.19,-5.57,0.665
351,101,2024-12-16,normal,59.06,1113.12,-1.48,0.632
352,101,2024-12-17,peak,62.49,1231.35,-2.42,0.717
353,101,2024-12-18,normal,61.01,1130.96,-2.77,0.626
354,101,2024-12-19,peak,60.77,1262.62,-2.1,0.75
355,101,2024-12-20,stress,62.45,1074.82,-1.49,1.198
356,101,2024-12-21,normal,60.59,1140.39,-0.04,0.675
357,101,2024-12-22,peak,60.63,1274.68,0.61,0.784
358,101,2024-12-23,stress,65.85,1183.44,1.37,1.157
359,101,2024-12-24,stress,65.85,1153.21,-4.5,1.228
360,101,2024-12-25,peak,63.13,1254.64,-2.59,0.83
361,101,2024-12-26,normal,60.43,1116.97,-0.06,0.566
362,101,2024-12-27,normal,58.78,1118.04,-4.42,0.627
363,101,2024-12-28,normal,60.42,1125.82,-2.58,0.685
364,101,2024-12-29,normal,60.33,1110.84,0.42,0.67
365,101,2024-12-30,peak,63.69,1206.25,1.28,0.805
366,101,2024-12-31,stress,65.24,1144.71,-0.28,1.183
367,101,2025-01-01,normal,62.11,1096.35,-3.12,0.583
368,101,2025-01-02,repair,56.17,965.61,2.27,1.077
369,101,2025-01-03,normal,62.21,1172.09,-2.65,0.654
370,101,2025-01-04,normal,61.39,1077.78,-1.14,0.562
371,101,2025-01-05,peak,64.23,1218.58,-4.01,0.631
372,101,2025-01-06,normal,60.38,1059.52,-0.44,0.623
373,101,2025-01-07,stress,64.66,1194.28,-0.03,1.194
374,101,2025-01-08,repair,57.01,939.9,-0.96,0.972
375,101,2025-01-09,stress,64.36,1173.13,0.02,1.039
376,101,2025-01-10,peak,59.63,1225.42,1.15,0.731
377,101,2025-01-11,peak,62.09,1287.92,-5.24,0.81
378,101,2025-01-12,normal,59.88,1096.78,-3.15,0.696
379,101,2025-01-13,normal,59.31,1103.64,-2.71,0.719
380,101,2025-01-14,normal,63.19,1117.73,-3.26,0.611
381,101,2025-01-15,peak,61.83,1252.6,-3.29,0.628
382,101,2025-01-16,normal,59.21,1090.41,-2.47,0.6
383,101,2025-01-17,normal,61.49,1128.3,-4.26,0.612
384,101,2025-01-18,normal,60.34,1153.45,-2.88,0.632
385,101,2025-01-19,normal,61.53,1094.56,-0.7,0.635
386,101,2025-01-20,peak,63.94,1257.89,-0.17,0.725
387,101,2025-01-21,normal,61.14,1107.11,0.39,0.742
388,101,2025-01-22,normal,62.13,1046.73,0.77,0.735
389,101,2025-01-23,normal,61.6,1097.28,0.51,0.634
390,101,2025-01-24,peak,63.09,1256.0,-1.1,0.704
391,101,2025-01-25,normal,62.02,1139.06,1.24,0.701
392,101,2025-01-26,peak,63.92,1259.74,0.68,0.719
393,101,2025-01-27,repair,58.09,912.74,2.0,1.012
394,101,2025-01-28,normal,62.82,1114.3,-1.24,0.714
395,101,2025-01-29,normal,60.32,1185.23,2.81,0.648
396,101,2025-01-30,repair,58.83,936.44,0.08,1.03
397,101,2025-01-31,repair,58.68,907.29,1.99,0.994
398,101,2025-02-01,stress,63.88,1173.57,-3.85,1.21
399,101,2025-02-02,peak,64.97,1228.11,3.5,0.73
400,101,2025-02-03,normal,62.41,1099.04,4.42,0.594
401,101,2025-02-04,normal,62.77,1141.44,6.63,0.606
402,101,2025-02-05,normal,60.58,1141.19,3.7,0.654
403,101,2025-02-06,normal,62.39,1069.28,5.34,0.805
404,101,2025-02-07,peak,63.72,1267.68,1.9,0.649
405,101,2025-02-08,peak,62.16,1190.23,6.97,0.763
406,101,2025-02-09,normal,61.31,1108.33,5.5,0.646
407,101,2025-02-10,repair,58.57,921.57,0.48,0.889
408,101,2025-02-11,normal,61.62,1065.36,3.7,0.651
409,101,2025-02-12,normal,60.72,1129.36,4.84,0.585
410,101,2025-02-13,peak,64.92,1273.04,3.98,0.726
411,101,2025-02-14,normal,62.31,1120.55,5.79,0.655
412,101,2025-02-15,normal,61.96,1142.57,6.53,0.604
413,101,2025-02-16,normal,63.58,1122.11,1.06,0.609
414,101,2025-02-17,normal,61.4,1092.48,8.14,0.591
415,101,2025-02-18,normal,62.08,1126.36,6.37,0.698
416,101,2025-02-19,normal,62.33,1101.24,5.64,0.654
417,101,2025-02-20,stress,66.68,1166.74,5.82,1.164
418,101,2025-02-21,normal,61.82,1117.53,10.81,0.619
419,101,2025-02-22,normal,63.08,1113.45,11.32,0.627
420,101,2025-02-23,repair,58.04,915.89,6.96,1.045
421,101,2025-02-24,stress,67.2,1140.15,5.92,1.36
422,101,2025-02-25,peak,62.87,1211.88,4.81,0.8
423,101,2025-02-26,normal,62.01,1105.34,8.73,0.602
424,101,2025-02-27,repair,59.26,950.08,8.09,0.954
425,101,2025-02-28,peak,62.89,1216.9,5.52,0.82
426,101,2025-03-01,normal,62.75,1153.57,14.03,0.554
427,101,2025-03-02,repair,58.32,893.3,5.71,0.982
428,101,2025-03-03,normal,62.31,1107.04,9.39,0.676
429,101,2025-03-04,normal,61.76,1185.12,9.09,0.546
430,101,2025-03-05,repair,57.06,924.6,8.56,0.972
431,101,2025-03-06,normal,62.66,1130.95,7.02,0.593
432,101,2025-03-07,normal,61.98,1032.23,8.93,0.649
433,101,2025-03-08,normal,60.96,1081.66,9.18,0.653
434,101,2025-03-09,peak,65.09,1220.37,8.82,0.777
435,101,2025-03-10,normal,61.57,1130.98,12.23,0.719
436,101,2025-03-11,normal,60.99,1100.85,10.36,0.643
437,101,2025-03-12,peak,62.21,1233.21,8.9,0.753
438,101,2025-03-13,stress,64.67,1142.95,11.17,1.233
439,101,2025-03-14,stress,66.29,1151.83,8.73,1.137
440,101,2025-03-15,peak,62.73,1188.08,11.27,0.743
441,101,2025-03-16,normal,61.81,1143.8,9.84,0.572
442,101,2025-03-17,normal,62.51,1072.84,8.39,0.607
443,101,2025-03-18,normal,63.24,1056.35,11.94,0.685
444,101,2025-03-19,normal,63.07,1050.13,13.11,0.662
445,101,2025-03-20,peak,64.3,1134.04,10.92,0.757
446,101,2025-03-21,normal,62.69,1123.68,14.24,0.636
447,101,2025-03-22,normal,61.57,1108.8,10.76,0.683
448,101,2025-03-23,normal,62.06,975.85,10.6,0.752
